edition,sport,discipline,athlete,NOC,medal,id
2008,Taekwondo,Taekwondo,"NIKPAI, Rohullah",AFG,Bronze,1
1988,Sailing,Sailing,"BOERSMA, Jan D.",AHO,Silver,2
1984,Boxing,Boxing,"ZAOUI, Mohamed",ALG,Bronze,3
1984,Boxing,Boxing,"MOUSSA, Mustapha",ALG,Bronze,3
1992,Athletics,Athletics,"BOULMERKA, Hassiba",ALG,Gold,3
1992,Boxing,Boxing,"SOLTANI, Hocine",ALG,Bronze,3
1996,Athletics,Athletics,"MORCELI, Nourredine",ALG,Gold,3
1996,Boxing,Boxing,"SOLTANI, Hocine",ALG,Gold,3
1996,Boxing,Boxing,"BAHARI, Mohamed",ALG,Bronze,3
2000,Athletics,Athletics,"MERAH-BENIDA, Nouria",ALG,Gold,3
2000,Athletics,Athletics,"SAIDI-SIEF, Ali",ALG,Silver,3
2000,Athletics,Athletics,"SAID GUERNI, Djabir",ALG,Bronze,3
2000,Athletics,Athletics,"HAMMAD, Abderrahmane",ALG,Bronze,3
2000,Boxing,Boxing,"ALLALOU, Mohamed",ALG,Bronze,3
2008,Judo,Judo,"HADDAD, Soraya",ALG,Bronze,3
2008,Judo,Judo,"BENIKHLEF, Amar",ALG,Silver,3
1908,Aquatics,Swimming,"BEAUREPAIRE, Frank E.",ANZ,Bronze,4
1908,Aquatics,Swimming,"BEAUREPAIRE, Frank E.",ANZ,Silver,4
1908,Athletics,Athletics,"KERR, Harry E.",ANZ,Bronze,4
1908,Boxing,Boxing,"BAKER, Reginald L.",ANZ,Silver,4
1908,Rugby,Rugby,"BARNETT, Jumbo",ANZ,Gold,4
1908,Rugby,Rugby,"BEDE-SMITH, Frank",ANZ,Gold,4
1908,Rugby,Rugby,"CARMICHAEL, Philipp",ANZ,Gold,4
1908,Rugby,Rugby,"CARROLL, Daniel Brendan",ANZ,Gold,4
1908,Rugby,Rugby,"CRAIG, Robert R.",ANZ,Gold,4
1908,Rugby,Rugby,"GRIFFEN, Thomas",ANZ,Gold,4
1908,Rugby,Rugby,"HICKEY, John",ANZ,Gold,4
1908,Rugby,Rugby,"MCARTHUR, Emmanuel",ANZ,Gold,4
1908,Rugby,Rugby,"MCCABE, Arthur J.",ANZ,Gold,4
1908,Rugby,Rugby,"MCCUE, Patrick",ANZ,Gold,4
1908,Rugby,Rugby,"MCKIVATT, Christopher",ANZ,Gold,4
1908,Rugby,Rugby,"MCMURTRIE, Charles",ANZ,Gold,4
1908,Rugby,Rugby,"MIDDLETON, Albert Sidney",ANZ,Gold,4
1908,Rugby,Rugby,"RICHARDS, Thomas",ANZ,Gold,4
1908,Rugby,Rugby,"RUSSELL, Charles",ANZ,Gold,4
1912,Aquatics,Swimming,"HEALY, Cecil",ANZ,Silver,4
1912,Aquatics,Swimming,"DURACK, Fanny",ANZ,Gold,4
1912,Aquatics,Swimming,"WYLIE, Wilhelmina",ANZ,Silver,4
1912,Aquatics,Swimming,"HARDWICK, Harold H.",ANZ,Bronze,4
1912,Aquatics,Swimming,"HARDWICK, Harold H.",ANZ,Bronze,4
1912,Aquatics,Swimming,"BOARDMAN, Leslie",ANZ,Gold,4
1912,Aquatics,Swimming,"CHAMPION, Malcolm",ANZ,Gold,4
1912,Aquatics,Swimming,"HARDWICK, Harold H.",ANZ,Gold,4
1912,Aquatics,Swimming,"HEALY, Cecil",ANZ,Gold,4
1912,Tennis,Tennis,"WILDING, Anthony Frederick",ANZ,Bronze,4
1924,Athletics,Athletics,"BRUNETO, Luis",ARG,Silver,5
1924,Boxing,Boxing,"PORZIO, Alfredo",ARG,Bronze,5
1924,Boxing,Boxing,"QUARTUCCI, Pedro",ARG,Bronze,5
1924,Boxing,Boxing,"COPELLO, Alfredo",ARG,Silver,5
1924,Boxing,Boxing,"MENDEZ, Hector",ARG,Silver,5
1924,Polo,Polo,"KENNY, Arturo",ARG,Gold,5
1924,Polo,Polo,"MILES, Juan",ARG,Gold,5
1924,Polo,Polo,"NAYLOR, Guillermo",ARG,Gold,5
1924,Polo,Polo,"NELSON, Juan",ARG,Gold,5
1924,Polo,Polo,"PADILLA, Enrique",ARG,Gold,5
1924,Polo,Polo,"PENA, A.",ARG,Gold,5
1928,Aquatics,Swimming,"ZORRILLA, Victoriano",ARG,Gold,5
1928,Boxing,Boxing,"RODRIGUEZ JURADO, Arturo",ARG,Gold,5
1928,Boxing,Boxing,"PERALTA, Victor",ARG,Silver,5
1928,Boxing,Boxing,"LANDINI, Raul",ARG,Silver,5
1928,Boxing,Boxing,"AVENDANO, Victor",ARG,Gold,5
1928,Fencing,Fencing,"ANGANUZZI, Raul",ARG,Bronze,5
1928,Fencing,Fencing,"CAMET, Carmelo F.",ARG,Bronze,5
1928,Fencing,Fencing,"LARRAZ, Roberto",ARG,Bronze,5
1928,Fencing,Fencing,"LUCCHETTI, Hector Pablo",ARG,Bronze,5
1928,Fencing,Fencing,"LUCCHETTI, Luis J.",ARG,Bronze,5
1928,Football,Football,"BIDOGLIO, Ludovico",ARG,Silver,5
1928,Football,Football,"BOSIO, Angel",ARG,Silver,5
1928,Football,Football,"CALANDRA, Saul H.",ARG,Silver,5
1928,Football,Football,"CARRICABERRY, Alfredo D.",ARG,Silver,5
1928,Football,Football,"CHERRO, Roberto",ARG,Silver,5
1928,Football,Football,"DIAZ, Octavio J.",ARG,Silver,5
1928,Football,Football,"EVARISTO, J.",ARG,Silver,5
1928,Football,Football,"FERREIRA, Manuel",ARG,Silver,5
1928,Football,Football,"GAINZARAIN, Enrique",ARG,Silver,5
1928,Football,Football,"GOMEZ, S. N.",ARG,Silver,5
1928,Football,Football,"HELMAN, A.",ARG,Silver,5
1928,Football,Football,"MEDICI, Angel Segundo",ARG,Silver,5
1928,Football,Football,"MONTI, Luis Felipe",ARG,Silver,5
1928,Football,Football,"OCHOA, P.",ARG,Silver,5
1928,Football,Football,"ORLANDINI, Rodolfo",ARG,Silver,5
1928,Football,Football,"ORSI, Raimundo B.",ARG,Silver,5
1928,Football,Football,"PATERNOSTER, Fernando",ARG,Silver,5
1928,Football,Football,"PERDUCCA, Feliciano Angel",ARG,Silver,5
1928,Football,Football,"PERINETTI, N.",ARG,Silver,5
1928,Football,Football,"TARASCONI, Domingo Alberto",ARG,Silver,5
1928,Football,Football,"WEIHMULLER, L. F.",ARG,Silver,5
1928,Football,Football,"ZUMELZU, A. B.",ARG,Silver,5
1932,Athletics,Athletics,"ZABALA, Juan Carlos",ARG,Gold,5
1932,Boxing,Boxing,"LOVELL, Alberto Santiago",ARG,Gold,5
1932,Boxing,Boxing,"ROBLEDO, Carmelo Ambrosio",ARG,Gold,5
1932,Boxing,Boxing,"AZAR, Amado",ARG,Silver,5
1936,Aquatics,Swimming,"CAMPBELL, Jeanette Morven",ARG,Silver,5
1936,Boxing,Boxing,"LOVELL, Jose Guillermo",ARG,Silver,5
1936,Boxing,Boxing,"CASANOVAS, Oscar",ARG,Gold,5
1936,Boxing,Boxing,"VILLAREAL, Raul Vicente",ARG,Bronze,5
1936,Boxing,Boxing,"RISIGLIONE, Francisco",ARG,Bronze,5
1936,Polo,Polo,"ANDRADA, Manuel",ARG,Gold,5
1936,Polo,Polo,"CAVANAGH, Roberto",ARG,Gold,5
1936,Polo,Polo,"DUGGAN, Luis J.",ARG,Gold,5
1936,Polo,Polo,"GAZZOTTI, Andres",ARG,Gold,5
1936,Rowing,Rowing,"CURATELLA, Julio Pedro",ARG,Bronze,5
1936,Rowing,Rowing,"PODESTA, Horacio",ARG,Bronze,5
1948,Athletics,Athletics,"SIMONETTO DE PORTELA, Noemi",ARG,Silver,5
1948,Athletics,Athletics,"CABRERA, Delfo",ARG,Gold,5
1948,Boxing,Boxing,"PEREZ, Pascual Nicolas",ARG,Gold,5
1948,Boxing,Boxing,"IGLESIAS, Rafael",ARG,Gold,5
1948,Boxing,Boxing,"CIA, Mauro",ARG,Bronze,5
1948,Sailing,Sailing,"HOMP, Emilio C.",ARG,Silver,5
1948,Sailing,Sailing,"RIVADEMAR, Rodolfo",ARG,Silver,5
1948,Sailing,Sailing,"RODRIGUEZ DE LA TORRE, Rufino",ARG,Silver,5
1948,Sailing,Sailing,"SIEBURGER JR., Enrique Conrado",ARG,Silver,5
1948,Sailing,Sailing,"SIEBURGER SR., Enrique Conrado",ARG,Silver,5
1948,Sailing,Sailing,"SIEBURGER, Julio Christian",ARG,Silver,5
1948,Shooting,Shooting,"DIAZ SAENZ VALIENTE, Carlos Enrique",ARG,Silver,5
1952,Athletics,Athletics,"GORNO, Reinaldo",ARG,Silver,5
1952,Boxing,Boxing,"HERRERA, Eladio Oscar",ARG,Bronze,5
1952,Boxing,Boxing,"PACENZA, Antonio",ARG,Silver,5
1952,Rowing,Rowing,"CAPPOZZO, Tranquilo",ARG,Gold,5
1952,Rowing,Rowing,"GUERRERO, Eduardo",ARG,Gold,5
1952,Weightlifting,Weightlifting,"SELVETTI, Humberto",ARG,Bronze,5
1956,Boxing,Boxing,"ZALAZAR, Victor",ARG,Bronze,5
1956,Weightlifting,Weightlifting,"SELVETTI, Humberto",ARG,Silver,5
1960,Boxing,Boxing,"LAUDONIO, Abel Ricardo",ARG,Bronze,5
1960,Sailing,Sailing,"CALEGARIS, Hector",ARG,Silver,5
1960,Sailing,Sailing,"DEL RIO SALAS, Jorge Alberto",ARG,Silver,5
1960,Sailing,Sailing,"SALAS CHAVES, Jorge Alberto",ARG,Silver,5
1964,Equestrian,Eventing,"MORATORIO, Carlos Alberto",ARG,Silver,5
1968,Boxing,Boxing,"GUILOTTI GONZALEZ, Mario",ARG,Bronze,5
1968,Rowing,Rowing,"DEMIDDI, Alberto",ARG,Bronze,5
1972,Rowing,Rowing,"DEMIDDI, Alberto",ARG,Silver,5
1988,Tennis,Tennis,"SABATINI, Gabriela",ARG,Silver,5
1988,Volleyball,Volleyball,"CASTELLANI, Daniel Jorge",ARG,Bronze,5
1988,Volleyball,Volleyball,"COLLA, Daniel M.",ARG,Bronze,5
1988,Volleyball,Volleyball,"CONTE, Hugo Nestor",ARG,Bronze,5
1988,Volleyball,Volleyball,"CUMINETTI, Juan Carlos",ARG,Bronze,5
1988,Volleyball,Volleyball,"DE PALMA, Esteban",ARG,Bronze,5
1988,Volleyball,Volleyball,"DIZ, Alejandro",ARG,Bronze,5
1988,Volleyball,Volleyball,"KANTOR, Waldo Ariel",ARG,Bronze,5
1988,Volleyball,Volleyball,"MARTINEZ, Esteban Eduardo",ARG,Bronze,5
1988,Volleyball,Volleyball,"QUIROGA, Raul Nicolas",ARG,Bronze,5
1988,Volleyball,Volleyball,"URIARTE, Jon Emili",ARG,Bronze,5
1988,Volleyball,Volleyball,"WEBER, Carlos",ARG,Bronze,5
1988,Volleyball,Volleyball,"ZULIANELLO, Claudio F.",ARG,Bronze,5
1992,Tennis,Tennis,"FRANA, Javier",ARG,Bronze,5
